Name,GUID,StatusOfReport
Cover.ppt,ef96f3f3-be68-4f67-883c-158dc71c211b,
Cover2.ppt,2fa2bc6b-7dd8-44c4-b3e6-345171420d89,
Fig_horizontal.ppt,670b57d6-d7b6-4fb3-bb8a-aec3d189559b,Final report
102-CQ-1X Conventional core analysis results for the intervals 2195.0-2204.0m and 2342.0-2347.45m 1994.pdf,97dba640-6090-4cdc-ad95-1482c14c455e,Interim report
102-CQ-1X Gas Log.pdf,b347e586-8759-45cd-8fbf-306e9854c18f,Final report Approved
102-Cay Quat-1X Final well report .pdf,90142e2f-ed50-4705-8e3a-29c12b68963e,Final report Approved
102-CQ-1X_FWR (Geology).pdf,6aece7c5-effc-483c-8301-66dcc179de7d,Final report Approved
102-CQ-1X_Composite Log.pdf,a4502f35-ad66-4594-bde5-b7fd79f10843,Final report Approved
102-CQ-1X_Stable isotope and fluid inclusion analyses0001.pdf,84803cf0-21f7-4819-80c6-04fc5cf54eab,Final report Approved
102-CQ-1X_VSP.xls,a9094f59-ce85-43a5-9c2b-5dde36fbe12f,Final report
102-CQ-1X_Mud Log.pdf,a2f4c68c-f9c0-468f-9225-1201f461cbe3,Final report Approved
102-TB -1X_FWR logging .pdf,776d5854-1eee-4887-9159-3775f19fbe43,Final report
102-TB-1X Bao cao giam sat dia chat GK.DOC,729ff2e8-e0a2-43c8-bd8b-76302de3b368,Final report
102-TB-1X Bio report.pdf,eb80e5fd-3717-4440-b714-7f3762a7e8af,Final report
102-TB-1X Exploration Well proposal.pdf,bfd441af-2ae7-4ba8-9b95-bc69ff7bdf18,Final report
102-TB-1X Geochemical report full.pdf,3df23b68-228b-4b07-8bb3-d535cc8a2044,Final report
102-TB-1X_MDT_PRESSURE_PIDC.xls hung.xls,2231a432-431f-4ad5-9e02-244c23e3d5b4,Final report
102-TB-1X_Well Completion Report.pdf,b74b497b-feb8-46f4-9210-4eed50887b98,Final report Approved
102-TB-1X Well Testing Report .pdf,4b97d2e2-182b-4840-9de0-858171e86b66,Interim report
102-SP-1X FWR Drilling.pdf,9fcaf105-8081-46c1-8ca5-cc0e9c3d9e63,Final report Approved
102.10-SP-1X_Geological well completion report .pdf,a76e51ba-0475-4591-803d-665f0dc7aaab,Final report Approved
102.10-SP-1X_Bio report & chart.pdf,6bbad9c5-cac5-434d-8a87-2cc91b3b80e1,Final report
Thai Binh - 1X.xls,0f93b13b-557c-49ee-848a-5e44b4b4c034,Final report
Thai Binh-1X Daily WT Report_06 20Nov2006.pdf,21c69756-c1b2-4342-a93e-efcf5a289f48,Final report
Thai Binh-1X_DST-1_ 18Nov_Sample1-62.pdf,270c1ade-2496-4e37-bbb6-dbb0bbedd25a,Final report
"ThaiBinh-1X, 25Nov2006.pdf",78c8bb76-2035-4a2e-8da9-ed500aa504af,Final report
"ThaiBinh-1X, 26Nov2006.pdf",0cbf25eb-ee69-4bd1-9f15-29f0b88f5c8e,Final report
102-HD-1X_Bio Report.pdf,299e1c23-2ebb-4959-a61a-981a38cd673d,Final report
M-102-HoaDao-1XCHART.XLS,0b6af408-be45-4ca2-8204-3a6e48b57eed,Final report
SP-1X_Daily Geological Report_ 02_21-Mar-2014_SP-1X.docx,efd0cbd1-4838-4478-abcd-f090e0dc4d5d,Final report
SP-1X_Daily Geological Report_ 03_22-Mar-2014_SP-1X.docx,5c84268c-69c1-480e-990b-24784104d459,Final report
SP-1X_Daily Geological Report_ 04_23-Mar-2014_SP-1X.docx,32126887-b18b-4c05-a710-dd94e1d0268e,Final report
SP-1X_Daily Geological Report_ 05_24-Mar-2014_SP-1X.docx,dcc02f1b-9f4e-446e-ba50-81a403cc5d7f,Final report
SP-1X_Daily Geological Report_ 06_25-Mar-2014_SP-1X.docx,47ad5f97-13e8-4d74-8edc-2994f237b2f6,Final report
SP-1X_Daily Geological Report_ 07_26-Mar-2014_SP-1X.docx,c34b662b-540a-4c07-bc9f-45c44362d803,Final report
SP-1X_Daily Geological Report_ 08_27-Mar-2014_SP-1X.docx,6ac8d74b-83da-4e01-870f-d76cb123e346,Final report
SP-1X_Daily Geological Report_ 09_28-Mar-2014_SP-1X.docx,17f1765b-8156-44d9-8d6e-7edc2cbc9f6d,Final report
SP-1X_Daily Geological Report_01_20-Mar-14.docx,1cd42294-5a49-452a-9aa1-0858f19feeda,Final report
SP-1X_Daily Geological Report_11_30-Mar-2014_SP-1X.docx,73ea608d-a7cf-494b-ac2a-57f3e311b67a,Final report
SP-1X_Daily Geological Report_12_31-Mar-2014_SP-1X.docx,d5fe9d3d-611d-48ee-a8f2-a471bf6a2a75,Final report
SP-1X_Daily Geological Report_13_01-April-2014_SP-1X.docx,c6e72076-ed93-4934-9e9e-eb27fa07986f,Final report
SP-1X_Daily Geological Report_14_02-April-2014_SP-1X.docx,1976cd17-ebeb-4aff-9a2b-87f8bfdf5eb9,Final report
SP-1X_Daily Geological Report_15_03-April-2014_SP-1X.docx,2bb8a8da-fc47-49e2-aa47-9ebec3a973fa,Final report
SP-1X_Daily Geological Report_16_04-April-2014_SP-1X.docx,863336ca-0671-439a-9614-af4ba474013a,Final report
SP-1X_Daily Geological Report_17_05-April-2014_SP-1X.docx,48fd1393-6450-4183-8d72-7f4e5a799ca1,Final report
SP-1X_Daily Geological Report_18_06-April-2014_SP-1X.docx,9a089a0c-5a85-4573-bfb8-623e9ee9fe37,Final report
SP-1X_Daily Geological Report_19_07-April-2014_SP-1X.docx,6e4b0731-3bef-4b6f-98a6-4de755f61745,Final report
102.10-SP-1X_FINAL WELL REPORT Well .pdf,2debe23b-95c3-4233-891d-ed202e5f9730,Final report Approved
SP-1X_Daily Geological Report_20_08-April-2014_SP-1X.docx,98ee0867-5a60-49c7-aa7c-50edc3d63a87,Final report
SP-1X_Daily Geological Report_21_09-April-2014_SP-1X.docx,a9c5e48d-af5d-4381-955d-196b0c34a29a,Final report
SP-1X_Daily Geological Report_22_10-April-2014_SP-1X.docx,419c4f24-520e-4f80-9f33-ff09a90aa7fa,Final report
SP-1X_Daily Geological Report_23_11-April-2014_SP-1X.docx,22b9f326-2021-4b24-871c-84bc574945c5,Final report
SP-1X_Daily Geological Report_25_13-April-2014_SP-1X.docx,ae7f1055-8ac5-4e14-a267-20621908cf1b,Final report
102-HD-1X Final Well Report (Geology).pdf,3af99200-841f-49a9-8e24-3fffe5f27ee9,Final report Approved
SP-1X_Daily Geological Report_26_14-April-2014_SP-1X.docx,e151efd0-d274-44a1-8f65-183907f8d156,Final report
SP-1X_Daily Geological Report_27_15-April-2014_SP-1X.docx,cb964a5d-e0f3-4e39-9516-82ab525135df,Final report
SP-1X_Daily_Geological_Report_24_12-April-2014_SP-1X.DOCX,ba2fd78f-92b2-496a-a73e-4dd4e9c67e26,Final report
SP-1X_Daily_Geological_Report_25_13-April-2014_SP-1X.docx,4d01818e-4bc8-4fba-a5d9-18b580da04f4,Final report
102-10-SP-1X_DRL_ASCII_64m-2605m.txt,fa67e9a0-f4db-4210-914f-beca483a7eb9,Final report
102-10-SP-1X_GAS_ASCII_499m-2605m.txt,f81e5373-de7f-46c1-a4f7-120a80b26960,Final report
A4_SP-1X_MASTERLOG_(1500m-2605m).pdf,6c5034bc-97ab-4380-a8f9-38cd60ae804a,Final report
A4_SP-1X_MASTERLOG_(64m-2100m).pdf,8d940e12-dbf0-462b-902f-5f0765dbc450,Final report
Compositelog -2605m_ SP-1X.pdf,b25c8e57-fe13-4175-a858-96e46dd4943a,Final report
SP-1X_LWDMem_200MD_1554-2605m.pdf,99c71d1b-0738-4422-871e-e4bfe393961d,Final report
SP-1X_LWDMem_200TVD_1554-2600m.pdf,25d2a5c2-1e71-4499-b08e-99015c84753e,Final report
SP-1X_LWDMem_500TVD_1554-2600m.pdf,6b4ad191-d5a6-4898-adde-ae3580035405,Final report
SurveyUpdated.xls,34f9e1cf-aff0-4a0a-b32e-b3de01ac8a38,Final report
SP-1X_LWDMem_500MD_1554-2605m.pdf,78e43f04-c5f1-4fd7-9a54-81b1a15276f9,Final report
102-TB-1X Petrography report Table.xls,52cdaec4-dfa6-4441-ad50-dcaf20fe9916,Final report
Thai Binh-1X MLR Mudlog_1000-1410m MD_13 OCT 06.pdf,6bbfcab6-ee73-4789-b770-abb48e287197,Final report
Thai Binh-1X MLR Mudlog_1400-1560m MD_14 OCT 06.pdf,5b852793-a7ae-4fdb-933a-0dc977bd1f34,Final report
Thai Binh-1X MLR Mudlog_1600-1960m MD_16 OCT 06.pdf,3dd33f15-6c2f-4954-9aa3-ea80317143b0,Final report
102-TB-1X Petrography report.pdf,b13da427-e36f-41a2-b336-f9f889c264f4,Final report
Thai Binh-1X MLR Mudlog_2000-2177m MD_19 OCT 06.pdf,4c4e083f-290d-4e22-9198-9f709edc0759,Final report
Thai Binh-1X MLR Mudlog_1800-2060m MD_17 OCT 06.pdf,8c6236b5-ae38-4f34-987d-bd1e920214d8,Final report
Thai Binh-1X MLR Mudlog_2100-2216 m MD_21 OCT 06.pdf,7922fcd9-0731-4a59-9165-8d1edcd53a3d,Final report
Thai Binh-1X MLR Mudlog_2200-2419m MD_05 NOV 06.pdf,cb92cfdf-907e-4f92-935c-8dc8a9b71bec,Final report
Thai Binh-1X MLR Mudlog_2200-2440m MD_06 NOV 06.pdf,992a9a9e-3084-431a-bb08-ead94092b969,Final report
Thai Binh-1X MLR Mudlog_2350-2487m MD_07 NOV 06.pdf,24591055-2b98-4d00-8fbc-12dad2dcd9a8,Final report
Thai Binh-1X MLR Mudlog_2350-2492m MD_07 NOV 06.pdf,32ea1b1e-f2fd-4260-9bb4-39403e6b9c71,Final report
Thai Binh-1X MLR Mudlog_2400-2550m MD_08 NOV 06.pdf,957bccac-e18a-4e58-8c1b-0fbb183b6fe0,Final report
Thai Binh-1X MLR Mudlog_2450-2610m MD_09 NOV 06.pdf,ab083d62-6605-470b-8418-2371a23bda23,Final report
Thai Binh-1X MLR Mudlog_2500-2595m MD_08 NOV 06.pdf,510275c0-ed70-40d3-a5dd-1c79578f1faf,Final report
Thai Binh-1X MLR Mudlog_2550-2730m MD_10 NOV 06.pdf,045b980c-534d-4669-8bef-6ee508a49acf,Final report
Thai Binh-1X MLR Mudlog_2700-2880m MD_12 NOV 06.pdf,4e9b393f-0661-437b-8a39-ca94fe72747c,Final report
Thai Binh-1X MLR Mudlog_300-715m MD_06 OCT 06.pdf,03b77fa4-e7a2-40dc-a8f0-121234d4ba2a,Final report
"THAI BINH-1X_ILO_Afternoon Report 01_Sep 30, 2006.doc",578b0cbb-c402-4600-826a-52e9dbdd6069,
"THAI BINH-1X_ILO_Afternoon Report 02_Oct 01, 2006.doc",e52cbdcd-e1ea-41c0-9eb0-2bc880be2972,
Thai Binh-1X MLR Mudlog_300-956m MD_07 OCT 06.pdf,e4b4e60a-3e8c-435c-9465-04b6a4e4f6c0,Final report
"THAI BINH-1X_ILO_Afternoon Report 03_Oct 02, 2006.doc",f3c1a7e6-1b9d-4c1d-ae83-fbeab5615411,
"THAI BINH-1X_ILO_Afternoon Report 05_Oct 04, 2006.doc",7582321d-8f66-4e65-82e0-32873ee6c767,
"THAI BINH-1X_ILO_Afternoon Report 04_Oct 03, 2006.doc",87250921-70a7-4a5c-9c9b-d13a2f47d604,
"THAI BINH-1X_ILO_Afternoon Report 06_Oct 05, 2006.doc",ce91c347-b810-44b1-b1e0-0ed4dca6e7e8,
"THAI BINH-1X_ILO_Afternoon Report 06_Oct 5, 2006.doc",60f51c8c-8ebf-4783-b6aa-b26f4018439c,
"THAI BINH-1X_ILO_Afternoon Report 08_Oct 07, 2006.doc",b42c6bf5-779b-4878-8f55-bb097c903fe4,
"THAI BINH-1X_ILO_Afternoon Report 07_Oct 06, 2006.doc",c83da1f7-d334-4ef6-b6e5-149bc95b377e,
"THAI BINH-1X_ILO_Afternoon Report 09_Oct 08, 2006.doc",ffd9e9cd-aef1-40a0-b91f-42bf39f35230,
"THAI BINH-1X_ILO_Afternoon Report 11_Oct 10, 2006.doc",2a7b199e-c841-4f57-b92a-e07dbf6c31a0,
"THAI BINH-1X_ILO_Afternoon Report 10_Oct 09, 2006.doc",495ec4b8-805f-4cd8-9c63-735b8e9c6a1c,
"THAI BINH-1X_ILO_Afternoon Report 12_Oct 11, 2006.doc",c3afa79e-e403-48d6-a06e-bde6bd3cadd6,
"THAI BINH-1X_ILO_Afternoon Report 13_Oct 12, 2006.doc",db321a08-f0df-41b6-a6fc-be72ff77c3a1,
"THAI BINH-1X_ILO_Afternoon Report 15_Oct 14, 2006.doc",047a4688-c91c-47f3-a6ec-98e4aaee4508,
"THAI BINH-1X_ILO_Afternoon Report 14_Oct 13, 2006.doc",6b48a807-1b99-4401-88e7-7ba355979d9b,
"THAI BINH-1X_ILO_Afternoon Report 17_Oct 16, 2006.doc",2177b273-3d57-485b-a447-dc10d9029c8e,
"THAI BINH-1X_ILO_Afternoon Report 16_Oct 15, 2006.doc",f9f5db21-cf2f-4530-84f6-936b4967055b,
"THAI BINH-1X_ILO_Afternoon Report 19_Oct 18, 2006.doc",7d7dbef7-6255-4a99-b3cd-58b426641362,
"THAI BINH-1X_ILO_Afternoon Report 18_Oct 17, 2006.doc",a3434b58-f048-4e35-adcf-94f0bbf187d6,
"THAI BINH-1X_ILO_Afternoon Report 21_Oct 20, 2006.doc",1ea22755-c72e-4e36-899f-6f975c0f1e55,
"THAI BINH-1X_ILO_Afternoon Report 20_Oct 19, 2006.doc",3645fd45-917f-449c-a0ae-4f35f369e549,
"THAI BINH-1X_ILO_Afternoon Report 22_Oct 21, 2006.doc",2f0d0ad2-f685-428c-9df1-e7743fba7656,
"THAI BINH-1X_ILO_Afternoon Report 23_Oct 22, 2006.doc",91392ac7-c4d6-4e2c-ab7e-4f98dd98ef39,
"THAI BINH-1X_ILO_Afternoon Report 24_Oct 23, 2006.doc",05339818-8990-41b7-858f-30dfd86762c0,
"THAI BINH-1X_ILO_Afternoon Report 26_Oct 25, 2006.doc",0a32613e-906f-4f69-8fa3-a4db085598b9,
"THAI BINH-1X_ILO_Afternoon Report 25_Oct 24, 2006.doc",77dd25da-b602-4f69-82f3-62f43c65f838,
"THAI BINH-1X_ILO_Afternoon Report 28_Oct 27, 2006.doc",08aa1754-9d05-42a6-b803-bbe09c52b64d,
"THAI BINH-1X_ILO_Afternoon Report 27_Oct 26, 2006.doc",076e5087-3291-4a9e-b4d9-f323f5a7248e,
"THAI BINH-1X_ILO_Afternoon Report 29_Oct 28, 2006.doc",2d69d69e-8760-4e33-aa25-21abfbbf5487,
"THAI BINH-1X_ILO_Afternoon Report 31_Oct 30, 2006.doc",da5b773c-2ff7-4eab-a210-40d5fc9138ea,
"THAI BINH-1X_ILO_Afternoon Report 32_Oct 31, 2006.doc",77b7b2bb-f7a1-4f90-9e1c-effe1e27194c,
"THAI BINH-1X_ILO_Afternoon Report 33_Nov 01, 2006.doc",9e4f8643-e316-4bbe-bd8e-c432986a576a,
"THAI BINH-1X_ILO_Afternoon Report 34_Nov 02, 2006.doc",0acddaf3-949c-4329-af62-62938daa5b0a,
"THAI BINH-1X_ILO_Afternoon Report 35_Nov 03, 2006.doc",f4a83136-b2de-4f6b-a147-f6fc001d9bad,
"THAI BINH-1X_ILO_Afternoon Report 36_Nov 4, 2006.doc",523b64c5-ef1b-4d64-bd91-78550cbe781e,
"THAI BINH-1X_ILO_Afternoon Report 37_Nov 05, 2006.doc",e5345721-9982-44f6-a38e-8a35eb2bb651,
"THAI BINH-1X_ILO_Afternoon Report 38_Nov 06, 2006.doc",0cb3d894-89d9-42c4-a66b-e33d35f2c125,
"THAI BINH-1X_ILO_Afternoon Report 39_Nov 07, 2006.doc",9b5c654c-3598-4b20-acde-80213b14710c,
"THAI BINH-1X_ILO_Afternoon Report 40_Nov 08, 2006.doc",266e5243-81e5-48a2-8e21-a45350c7f710,
"THAI BINH-1X_ILO_Afternoon Report 41_Nov 09, 2006.doc",95758db9-e3b7-465c-b483-9eab15e657bf,
"THAI BINH-1X_ILO_Afternoon Report 42_Nov 10, 2006.doc",ca42796c-ecda-4026-9761-b7f3646d8072,
"THAI BINH-1X_ILO_Afternoon Report 43_Nov 11, 2006.doc",1b9e0aad-36ec-48c4-8ee1-d59d67806e3d,
"THAI BINH-1X_ILO_Afternoon Report 44_Nov 12, 2006.doc",2f2e6049-e3ff-4b75-a2f1-7473cef59534,
"THAI BINH-1X_ILO_Afternoon Report 45_Nov 13, 2006.doc",ec7df06a-6cd5-4970-aa7f-661389a3d7f6,
"THAI BINH-1X_ILO_Afternoon Report 46_Nov 14, 2006.doc",b0ccfa2a-16fd-4b53-8064-fc70b2caa997,
"THAI BINH-1X_ILO_Afternoon Report 47_Nov 15, 2006.doc",fda74eed-0617-4a2a-8f46-d6cc65e91034,
"THAI BINH-1X_ILO_Afternoon Report 48_Nov 16, 2006.doc",2fa0ab83-cb4f-40c0-900c-4b90d0edd957,
"THAI BINH-1X_ILO_Afternoon Report 49_Nov 17, 2006.doc",57a3c030-777e-4c94-b360-01ffdadbe21d,
"THAI BINH-1X_ILO_Afternoon Report 50_Nov 18, 2006.doc",97ab4728-0dce-44ef-adda-2a7f77f1655a,
"THAI BINH-1X_ILO_Afternoon Report 51_Nov 19, 2006.doc",838731ef-8747-438f-a2f5-edc09d1810c5,
"THAI BINH-1X_ILO_Afternoon Report 53_Nov 21, 2006.doc",4e5f7ad8-d0dc-46ba-be0a-58c99b2677fe,
"THAI BINH-1X_ILO_Afternoon Report 52_Nov 20, 2006.doc",13c5c19f-6bd6-4f6d-806e-dc4bfed4ed20,
"THAI BINH-1X_ILO_Afternoon Report 54_Nov 22, 2006.doc",1a6dd85d-af24-46d7-9450-bc2d3aff3ea2,
"THAI BINH-1X_ILO_Afternoon Report 55_Nov 23, 2006.doc",e06c0cd9-e5a3-4b04-a74c-b2bbf345c79b,
"THAI BINH-1X_ILO_Afternoon Report 56_Nov 24, 2006.doc",e2eed20c-7b7c-444d-ae1d-11e210f396a6,
"THAI BINH-1X_ILO_Afternoon Report 57_Nov 25, 2006.doc",a662a5b1-88ce-4be5-88ba-4174df412349,
"THAI BINH-1X_ILO_Morning Report 33_Nov 01, 2006.doc",fecf91d3-a723-4463-a6a5-6bc07b2d99b9,
"THAI BINH-1X_ILO_Afternoon Report 58_Nov 26, 2006.doc",5d09f26c-1f58-480d-bacc-7083bc803dc1,
"THAI BINH-1X_ILO_Midnight Report 02_Oct 01, 2006.doc",520f820d-34db-407c-84fa-4eb632ac21be,
"THAI BINH-1X_ILO_Midnight Report 01_Sep 30, 2006.doc",0802fe23-60a2-44b8-b3d4-94952959c5a6,
"THAI BINH-1X_ILO_Midnight Report 03_Oct 02, 2006.doc",95e21602-87e4-44ef-9c0b-cfcbbacd80e2,
"THAI BINH-1X_ILO_Midnight Report 04_Oct 03, 2006.doc",3db853c9-fa82-4b35-9068-b62173a2fedc,
"THAI BINH-1X_ILO_Midnight Report 05_Oct 04, 2006.doc",ca161fd2-ed89-4f6f-ad40-b093a8100197,
"THAI BINH-1X_ILO_Midnight Report 06_Oct 05, 2006.doc",f2b13733-d656-49b3-9709-5b736132b12a,
"THAI BINH-1X_ILO_Midnight Report 07_Oct 06, 2006.doc",a010e314-1f69-4a24-9c87-e4175ca27be5,
"THAI BINH-1X_ILO_Midnight Report 08_Oct 07, 2006.doc",5996c8d4-3f0f-4806-ac0f-c7f93b75a968,
"THAI BINH-1X_ILO_Midnight Report 10_Oct 09, 2006.doc",8551b650-4866-4f99-8177-90d225291735,
"THAI BINH-1X_ILO_Midnight Report 09_Oct 08, 2006.doc",0b622471-d892-463c-b8f7-ea700800d409,
"THAI BINH-1X_ILO_Midnight Report 12_Oct 11, 2006.doc",ed30af6e-28ef-4af2-a5a8-448b1f918347,
"THAI BINH-1X_ILO_Midnight Report 13_Oct 12, 2006.doc",9c237b51-6656-4c9d-9aa3-31cee83d21fc,
"THAI BINH-1X_ILO_Midnight Report 14_Oct 13, 2006.doc",e944cd75-d905-4982-93af-198f10f2fa00,
"THAI BINH-1X_ILO_Midnight Report 11_Oct 10, 2006.doc",8163b82c-4657-47b4-ac69-8da655d6e168,
"THAI BINH-1X_ILO_Midnight Report 15_Oct 14, 2006.doc",bbabff5a-6b17-4d35-afde-c2f8ccfacaa2,
"THAI BINH-1X_ILO_Midnight Report 16_Oct 15, 2006.doc",3304ddf4-cd57-45c6-9702-59c744ee0c39,
"THAI BINH-1X_ILO_Midnight Report 17_Oct 16, 2006.doc",1aaafa3f-321f-4a45-839b-990928ee368d,
"THAI BINH-1X_ILO_Midnight Report 18_Oct 17, 2006.doc",cd64c9b3-9ba0-4e73-81ec-be194dcf40ef,
"THAI BINH-1X_ILO_Midnight Report 19_Oct 18, 2006.doc",3bc9d187-f716-4072-8239-519d4e2c4d5e,
"THAI BINH-1X_ILO_Midnight Report 20_Oct 19, 2006.doc",2a8cb6e3-5a22-4dd0-8f18-1378eaf88717,
"THAI BINH-1X_ILO_Midnight Report 22_Oct 21, 2006.doc",ad509fd4-8a41-4246-9552-e735dffcbac6,
"THAI BINH-1X_ILO_Midnight Report 21_Oct 20, 2006.doc",08a04954-9c12-47d9-8b27-ffb56fba31cd,
"THAI BINH-1X_ILO_Midnight Report 23_Oct 22, 2006 for DD.doc",8718f28a-2e98-4e45-b52b-3ddcac66a9dc,
"THAI BINH-1X_ILO_Midnight Report 23_Oct 22, 2006.doc",8680805f-2ac4-4abf-b82f-ed2ea41cf943,
"THAI BINH-1X_ILO_Midnight Report 24_Oct 23, 2006.doc",51f94526-7cc6-4654-8e18-893863ba844c,
"THAI BINH-1X_ILO_Midnight Report 25_Oct 24, 2006.doc",58af0b3b-3258-45f5-80d7-5296502fdf86,
"THAI BINH-1X_ILO_Midnight Report 26_Oct 25, 2006.doc",5dd12c3b-d3f0-46e9-8d00-cdc249ed85a7,
"THAI BINH-1X_ILO_Midnight Report 27_Oct 26, 2006.doc",7927065d-5f15-4b58-a841-f7413473052a,
"THAI BINH-1X_ILO_Midnight Report 28_Oct 27, 2006.doc",9178fe2b-d329-483d-ba11-23c712a6de96,
"THAI BINH-1X_ILO_Midnight Report 29_Oct 28, 2006.doc",b739cb78-32ee-4655-b968-4bf432a8e76a,
"THAI BINH-1X_ILO_Midnight Report 30_Oct 29, 2006.doc",cdf62f3c-5170-4df0-9d4e-b7c2cdc7bdb1,
"THAI BINH-1X_ILO_Midnight Report 31_Oct 30, 2006.doc",d892acb3-2672-4fb2-8084-cb7a63b058bd,
"THAI BINH-1X_ILO_Midnight Report 32_Oct 31, 2006.doc",7b45afd3-99e9-41a9-9ccf-3847945e4902,
"THAI BINH-1X_ILO_Morning Report 33_Nov 01, 2006.doc",c615843d-96e2-485d-a63c-92eb6e5f404a,
"THAI BINH-1X_ILO_Morning Report 34_Nov 02, 2006.doc",9868da8b-0b23-4895-8b2f-5b508a134c03,
"THAI BINH-1X_ILO_Morning Report 36_Nov 04, 2006.doc",c59367d6-0a95-494e-bae8-9996efaa2610,
"THAI BINH-1X_ILO_Morning Report 35_Nov 03, 2006.doc",6a4d4afd-2f40-469f-abda-71710fd33d42,
"THAI BINH-1X_ILO_Morning Report 37_Nov 05, 2006.doc",fcfeab25-a084-48e3-91cc-cec6d8832bb9,
"THAI BINH-1X_ILO_Morning Report 38_Nov 06, 2006.doc",44ae3f51-0336-495a-9860-4723d4381fb6,
"THAI BINH-1X_ILO_Morning Report 39_Nov 07, 2006.doc",365514aa-3acb-4090-b825-ba4a61beeda8,
"THAI BINH-1X_ILO_Morning Report 40_Nov 08, 2006.doc",2252be7a-c3df-46ee-8cbe-7120a2c05b46,
"THAI BINH-1X_ILO_Morning Report 41_Nov 09, 2006.doc",9ef505ff-f07c-4920-aa9f-b5e454039f3f,
"THAI BINH-1X_ILO_Morning Report 42_Nov 10, 2006.doc",393bfe45-9c9c-41da-8e27-e739ade4dbdc,
"THAI BINH-1X_ILO_Morning Report 43_Nov 11, 2006.doc",756d8404-751b-450d-bd8c-51a0104c6a58,
"THAI BINH-1X_ILO_Morning Report 44_Nov 12, 2006.doc",a9743a58-690b-46c4-b566-64d09ecf1e4a,
"THAI BINH-1X_ILO_Morning Report 45_Nov 13, 2006.doc",d0716202-1411-4405-b700-19823dda6a8d,
"THAI BINH-1X_ILO_Morning Report 46_Nov 14, 2006.doc",e7a47a34-74f5-429b-84e4-bbc4970c32fe,
"THAI BINH-1X_ILO_Morning Report 47_Nov 15, 2006.doc",a6a0e0d2-3b72-4190-9b07-e03bac9098e2,
"THAI BINH-1X_ILO_Morning Report 48_Nov 16, 2006.doc",74036909-30a8-472d-a6a9-5d214814d2ad,
"THAI BINH-1X_ILO_Morning Report 49_Nov 17, 2006.doc",3b964e11-404b-40d4-8315-0f57e1e4a72a,
"THAI BINH-1X_ILO_Morning Report 50_Nov 18, 2006.doc",9b9bc40d-ef22-411c-8a0c-8dc746cc199e,
"THAI BINH-1X_ILO_Morning Report 51_Nov 19, 2006.doc",93a71639-d8ca-458b-807c-b2f3bb4b4ca6,
"THAI BINH-1X_ILO_Morning Report 52_Nov 20, 2006.doc",bc983a9a-f749-4964-a02d-59e19c6f6f9d,
"THAI BINH-1X_ILO_Morning Report 53_Nov 21, 2006.doc",317b64f2-ade1-4fd0-81aa-d38030008f68,
"THAI BINH-1X_ILO_Morning Report 55_Nov 23, 2006.doc",36d487df-bf7e-4d18-b7e7-c2a7f6a01abd,
"THAI BINH-1X_ILO_Morning Report 54_Nov 22, 2006.doc",fc020c35-972c-4933-a777-c3f33311f23f,
"THAI BINH-1X_ILO_Morning Report 56_Nov 24, 2006.doc",d746f4d6-55da-436e-bd30-6bf0a425716b,
"THAI BINH-1X_ILO_Morning Report 57_Nov 25, 2006.doc",f25ee665-72f1-4910-84d1-9051be63de8c,
"THAI BINH-1X_ILO_Morning Report 01_Sep 30, 2006.doc",65b9b59e-d790-4629-848f-32909319eb24,
"THAI BINH-1X_ILO_Morning Report 58_Nov 26, 2006.doc",083496b8-3366-4f3b-9000-94f20807a4b9,
"THAI BINH-1X_ILO_Morning Report 03_Oct 2, 2006.doc",270a9e68-c5dc-4065-8383-bc3a1da92980,
"THAI BINH-1X_ILO_Morning Report 02_Oct 1, 2006.doc",d663a1a2-8d64-4e4f-a3d0-95a4302ffe67,
"THAI BINH-1X_ILO_Morning Report 04_Oct 3, 2006.doc",819bac0b-77c8-4ddb-9a27-a668414fb2a2,
"THAI BINH-1X_ILO_Morning Report 05_Oct 4, 2006.doc",3e3ae2a7-b29c-4266-8be8-83db3820fd62,
"THAI BINH-1X_ILO_Morning Report 07_Oct 6, 2006.doc",8d368cf8-83e1-4f4e-909a-8a0fc7b92e8f,
"THAI BINH-1X_ILO_Morning Report 06_Oct 5, 2006.doc",702f8bba-e345-4aa9-9c9c-937015fb03f7,
"THAI BINH-1X_ILO_Morning Report 08_Oct 7, 2006.doc",414224f7-283f-4e45-b92a-cb61ea9def92,
"THAI BINH-1X_ILO_Morning Report 09_Oct 8, 2006.doc",dcc8c653-a625-4871-be05-d853734b5c16,
"THAI BINH-1X_ILO_Morning Report 10_Oct 9, 2006.doc",08c7cef1-76e4-4e88-afbf-4d1a46423810,
"THAI BINH-1X_ILO_Morning Report 11_Oct 10, 2006.doc",c7e9a9ee-151f-428d-abe3-6e63ed223dfe,
"THAI BINH-1X_ILO_Morning Report 12_Oct 11, 2006.doc",73e640dc-82bb-4df3-91f6-0ddd480d25cc,
"THAI BINH-1X_ILO_Morning Report 13_Oct 12, 2006.doc",8892581e-73b3-4230-9ac7-c0c349328802,
"THAI BINH-1X_ILO_Morning Report 14_Oct 13, 2006.doc",93c2d990-ea59-43da-8ed4-0877fc921f5f,
"THAI BINH-1X_ILO_Morning Report 16_Oct 15, 2006.doc",b21f2c05-33c0-4c0a-a1bd-21923005dfe6,
